class_id,img_idx,ksize,sigma,cos_sim
235,48,5,4.0,0.9354875087738037
235,48,5,9.0,0.9354049563407898
235,48,7,2.0,0.9243353009223938
235,48,7,4.0,0.912865161895752
235,48,7,13.5,0.8984125256538391
235,48,7,15.0,0.8983591198921204
235,48,11,2.0,0.9198398590087891
235,48,11,5.0,0.9127680063247681
235,49,5,1.0,0.9309933185577393
235,49,5,2.0,0.9126264452934265
235,49,5,4.0,0.9227774143218994
235,49,5,9.0,0.9251627922058105
235,49,7,2.0,0.9029404520988464
235,49,7,4.0,0.8960307836532593
235,49,7,13.5,0.8941255807876587
235,49,7,15.0,0.8941610455513
235,49,11,2.0,0.8954460620880127
235,49,11,5.0,0.8885543346405029
98,0,5,1.0,0.9485354423522949
98,0,5,2.0,0.9176576137542725
98,0,5,4.0,0.9233412146568298
98,0,5,9.0,0.9247795343399048
98,0,7,2.0,0.8788589239120483
98,0,7,4.0,0.8830238580703735
98,0,7,13.5,0.8888356685638428
98,0,7,15.0,0.8888792991638184
98,0,11,2.0,0.8660090565681458
98,0,11,5.0,0.8063628673553467
98,1,5,1.0,0.9750372171401978
98,1,5,2.0,0.9576689600944519
98,1,5,4.0,0.9527102708816528
98,1,5,9.0,0.9515371918678284
98,1,7,2.0,0.9413265585899353
98,1,7,4.0,0.9291428327560425
98,1,7,13.5,0.9261307120323181
98,1,7,15.0,0.9260714054107666
98,1,11,2.0,0.9257309436798096
98,1,11,5.0,0.8329823017120361
98,2,5,1.0,0.9285837411880493
98,2,5,2.0,0.909075140953064
98,2,5,4.0,0.9162631034851074
98,2,5,9.0,0.9156421422958374
98,2,7,2.0,0.8873677253723145
98,2,7,4.0,0.8979304432868958
98,2,7,13.5,0.8916598558425903
98,2,7,15.0,0.8916438817977905
98,2,11,2.0,0.8763615489006042
98,2,11,5.0,0.8510155081748962
98,3,5,1.0,0.9499660730361938
98,3,5,2.0,0.9393865466117859
98,3,5,4.0,0.9320024251937866
98,3,5,9.0,0.9288170337677002
98,3,7,2.0,0.9217331409454346
98,3,7,4.0,0.8838361501693726
98,3,7,13.5,0.8616644144058228
98,3,7,15.0,0.861319899559021
98,3,11,2.0,0.9148045778274536
98,3,11,5.0,0.7397068738937378
98,4,5,1.0,0.962923526763916
98,4,5,2.0,0.9498819708824158
98,4,5,4.0,0.9515763521194458
98,4,5,9.0,0.9529922008514404
98,4,7,2.0,0.9385908842086792
98,4,7,4.0,0.9322130680084229
98,4,7,13.5,0.9316014051437378
98,4,7,15.0,0.9315897226333618
98,4,11,2.0,0.9316859841346741
98,4,11,5.0,0.9060683846473694
98,5,5,1.0,0.9743794202804565
98,5,5,2.0,0.9684380292892456
98,5,5,4.0,0.9695296883583069
98,5,5,9.0,0.9695764183998108
98,5,7,2.0,0.9615964889526367
98,5,7,4.0,0.9564956426620483
98,5,7,13.5,0.9547054171562195
98,5,7,15.0,0.9546796679496765
98,5,11,2.0,0.9561485052108765
98,5,11,5.0,0.9365531802177429
98,6,5,1.0,0.9813655614852905
98,6,5,2.0,0.972847580909729
98,6,5,4.0,0.972011387348175
98,6,5,9.0,0.9718446731567383
98,6,7,2.0,0.9639959335327148
98,6,7,4.0,0.9508450031280518
98,6,7,13.5,0.9494319558143616
98,6,7,15.0,0.9494264125823975
98,6,11,2.0,0.958466112613678
98,6,11,5.0,0.9145532250404358
98,7,5,1.0,0.984399139881134
98,7,5,2.0,0.9766212105751038
98,7,5,4.0,0.9792470932006836
98,7,5,9.0,0.9792507290840149
98,7,7,2.0,0.9671400189399719
98,7,7,4.0,0.9683629274368286
98,7,7,13.5,0.967420220375061
98,7,7,15.0,0.9673824310302734
98,7,11,2.0,0.9627974033355713
98,7,11,5.0,0.9360033869743347
98,8,5,1.0,0.9460034370422363
98,8,5,2.0,0.9298023581504822
98,8,5,4.0,0.9349311590194702
98,8,5,9.0,0.9343469738960266
98,8,7,2.0,0.9072386026382446
98,8,7,4.0,0.8868103623390198
98,8,7,13.5,0.8650118112564087
98,8,7,15.0,0.8647799491882324
98,8,11,2.0,0.8951816558837891
98,8,11,5.0,0.8511525392532349
98,9,5,1.0,0.9767658114433289
98,9,5,2.0,0.9677085876464844
98,9,5,4.0,0.9678348302841187
98,9,5,9.0,0.9671833515167236
98,9,7,2.0,0.9589978456497192
98,9,7,4.0,0.9475706815719604
98,9,7,13.5,0.9396038055419922
98,9,7,15.0,0.9394357204437256
98,9,11,2.0,0.9534422755241394
98,9,11,5.0,0.9268547892570496
98,10,5,1.0,0.9584867358207703
98,10,5,2.0,0.968970537185669
98,10,5,4.0,0.9699280858039856
98,10,5,9.0,0.9696224331855774
98,10,7,2.0,0.9661543965339661
98,10,7,4.0,0.9621413946151733
98,10,7,13.5,0.9545787572860718
98,10,7,15.0,0.9544692039489746
98,10,11,2.0,0.9632449746131897
98,10,11,5.0,0.9485130310058594
98,11,5,1.0,0.9741272926330566
