,,CLASS 1 (clean images),,,,"k = 5, s = 1.0",,,,"k = 5, s = 2.0",,,,"k = 5, s = 4.0",,,,"k = 5, s = 9.0",,,,"k = 7, s = 2.0",,,,"k = 7, s = 4.0",,,,"k = 7, s = 13.5",,,,"k = 7, s = 15.0",,,,"k = 11, s = 2.0",,,,"k = 11, s = 5.0",,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
10,0,"[36, 39, 43]",3,"[19, 39, 40, 41, 43, 57]",6,"[36, 39, 43]",3,"[19, 40, 43, 57]",4,"[36, 39, 43]",3,"[39, 40, 43, 57]",4,"[36, 39, 43]",3,"[39, 40, 43, 57]",4,"[36, 39, 43]",3,"[39, 40, 43, 57]",4,"[36, 43]",2,"[39, 40, 43]",3,"[36, 39, 43]",3,"[39, 40, 43]",3,"[36, 43]",2,"[39, 40, 43]",3,"[36, 43]",2,"[39, 40, 43]",3,"[36, 43]",2,"[39, 40, 43]",3,"[36, 43]",2,"[40, 43]",2
10,1,"[3, 63]",2,[45],1,[63],1,[45],1,[63],1,[45],1,[63],1,[45],1,[63],1,[45],1,[63],1,[45],1,"[3, 63]",2,[45],1,"[3, 63]",2,[],0,"[3, 63]",2,[],0,[63],1,[45],1,[63],1,[],0
10,2,"[26, 35, 51]",3,"[2, 26, 32, 35]",4,"[26, 35]",2,"[26, 35]",2,"[26, 35]",2,"[26, 35]",2,"[26, 35]",2,"[26, 32, 35]",3,"[26, 35]",2,"[26, 32, 35]",3,[35],1,"[26, 35]",2,[35],1,"[26, 32, 35]",3,[35],1,"[26, 32, 35]",3,[35],1,"[26, 32, 35]",3,[35],1,[35],1,[35],1,[35],1
10,3,"[5, 17, 63]",3,"[5, 26, 63]",3,"[5, 17, 63]",3,"[5, 26]",2,"[5, 63]",2,"[5, 26]",2,"[5, 63]",2,"[5, 26]",2,"[5, 63]",2,"[5, 26]",2,"[5, 63]",2,"[5, 26]",2,"[5, 63]",2,"[5, 26]",2,[63],1,"[5, 26]",2,[63],1,"[5, 26]",2,"[5, 63]",2,"[5, 26]",2,[63],1,"[5, 26]",2
10,4,"[47, 49]",2,"[0, 20, 49, 55, 56, 63]",6,[49],1,"[0, 20, 56, 63]",4,[],0,"[20, 56, 63]",3,[],0,"[20, 55, 56, 63]",4,[],0,"[20, 55, 56, 63]",4,[],0,[63],1,[],0,"[56, 63]",2,[],0,"[56, 63]",2,[],0,"[56, 63]",2,[],0,[63],1,[],0,[63],1
10,5,"[8, 16, 51]",3,"[3, 25, 34, 45, 46]",5,[8],1,"[3, 34, 45, 46]",4,[8],1,"[3, 34, 45]",3,"[8, 16]",2,"[3, 34, 45]",3,"[8, 16]",2,"[3, 34, 45]",3,[8],1,"[3, 34, 45]",3,[8],1,"[3, 45]",2,[8],1,"[3, 34, 45]",3,[8],1,"[3, 34, 45]",3,[8],1,"[3, 34, 45]",3,[],0,"[3, 45]",2
10,6,"[25, 30, 55]",3,"[16, 21, 49]",3,"[25, 30]",2,"[16, 49]",2,"[25, 30]",2,"[16, 49]",2,"[25, 30]",2,"[16, 49]",2,"[25, 30]",2,"[16, 49]",2,"[25, 30]",2,[16],1,"[25, 30]",2,[16],1,"[25, 30]",2,[16],1,"[25, 30]",2,[16],1,"[25, 30]",2,[16],1,"[25, 30]",2,[16],1
10,7,"[25, 45, 50]",3,"[25, 37, 50, 55]",4,[25],1,"[25, 37]",2,"[25, 45]",2,[25],1,"[25, 45]",2,[25],1,"[25, 45]",2,[25],1,"[25, 45]",2,"[25, 37]",2,"[25, 45]",2,"[25, 37]",2,"[25, 45]",2,"[25, 37]",2,"[25, 45]",2,"[25, 37]",2,"[25, 45]",2,"[25, 37]",2,"[25, 45]",2,"[25, 37]",2
10,8,"[6, 10, 49]",3,[25],1,"[6, 10]",2,[],0,"[6, 10]",2,[],0,"[10, 49]",2,[],0,"[10, 49]",2,[],0,[6],1,[],0,[],0,[],0,[10],1,[],0,[10],1,[],0,[6],1,[],0,"[6, 10]",2,[],0
10,9,"[10, 16, 28, 34, 37, 44, 55]",7,"[16, 28, 34, 37]",4,"[10, 16, 28, 34, 44, 55]",6,"[16, 28]",2,"[10, 28, 34, 44, 55]",5,"[16, 28]",2,"[10, 28, 34, 44]",4,"[16, 28]",2,"[10, 28, 34, 44]",4,"[16, 28]",2,"[10, 28, 44, 55]",4,"[16, 28]",2,"[10, 28, 34, 44]",4,"[16, 28]",2,"[10, 28, 34, 44]",4,"[16, 28]",2,"[10, 28, 34, 44]",4,"[16, 28]",2,"[10, 28, 34, 44]",4,"[16, 28]",2,"[10, 28, 34, 44]",4,"[16, 28]",2
10,10,"[4, 7, 35, 44]",4,"[0, 11, 27, 29, 33, 35, 44]",7,"[7, 35, 44]",3,"[11, 27, 33, 44]",4,"[7, 35, 44]",3,"[11, 27, 33, 35, 44]",5,"[7, 35]",2,"[11, 27, 33, 35]",4,"[7, 35]",2,"[11, 27, 33]",3,"[7, 35, 44]",3,"[11, 27, 33, 44]",4,"[7, 35]",2,"[11, 27, 33, 35]",4,"[7, 35]",2,"[0, 11, 27, 33, 35]",5,"[7, 35]",2,"[0, 11, 27, 33, 35]",5,"[7, 35]",2,"[11, 27, 33]",3,"[7, 35, 44]",3,"[11, 33, 35]",3
10,11,"[49, 53]",2,"[7, 8, 24, 27, 38, 49]",6,"[49, 53]",2,"[7, 8, 24, 38]",4,"[49, 53]",2,"[7, 24, 27, 38]",4,"[49, 53]",2,"[7, 24, 38]",3,"[49, 53]",2,"[7, 24, 38]",3,[53],1,[38],1,"[49, 53]",2,[38],1,"[49, 53]",2,[38],1,"[49, 53]",2,[38],1,[53],1,[38],1,"[49, 53]",2,[38],1
11,0,"[30, 38, 56]",3,"[5, 7, 32, 33, 39, 48, 51, 61]",8,"[30, 38, 56]",3,"[5, 7, 33, 39, 48, 51, 61]",7,"[30, 38, 56]",3,"[5, 7, 33, 39, 48, 51, 61]",7,"[30, 56]",2,"[5, 7, 33, 39, 48, 51, 61]",7,"[30, 56]",2,"[5, 7, 33, 39, 48, 51, 61]",7,[30],1,"[5, 7, 33, 39, 48, 51, 61]",7,"[30, 38, 56]",3,"[5, 7, 33, 39, 48, 61]",6,"[30, 38, 56]",3,"[5, 7, 33, 39, 48, 51, 61]",7,"[30, 38, 56]",3,"[5, 7, 33, 39, 48, 51, 61]",7,"[30, 38]",2,"[5, 7, 33, 39, 51, 61]",6,"[30, 38]",2,"[5, 33, 39, 48, 61]",5
11,1,"[30, 47, 49, 61]",4,[21],1,"[30, 47, 49, 61]",4,[21],1,"[30, 47, 49, 61]",4,[21],1,"[30, 47, 49, 61]",4,[21],1,"[30, 47, 49, 61]",4,[21],1,"[47, 61]",2,[],0,[47],1,[],0,"[47, 61]",2,[],0,"[47, 61]",2,[],0,"[47, 61]",2,[],0,"[47, 49]",2,[],0
11,2,"[1, 14, 46]",3,"[10, 14, 58]",3,"[1, 46]",2,[10],1,"[1, 46]",2,[],0,"[1, 46]",2,[],0,"[1, 46]",2,[],0,"[1, 46]",2,[],0,"[1, 46]",2,[],0,"[1, 46]",2,[],0,"[1, 46]",2,[],0,"[1, 46]",2,[],0,"[1, 46]",2,[],0
11,3,"[27, 57, 60, 61]",4,"[50, 56, 60]",3,"[27, 57, 61]",3,"[50, 56, 60]",3,"[27, 57, 61]",3,"[50, 56, 60]",3,"[27, 57, 61]",3,"[50, 56, 60]",3,"[57, 61]",2,"[50, 56, 60]",3,[61],1,"[50, 56, 60]",3,[61],1,"[50, 56, 60]",3,[61],1,"[50, 56, 60]",3,[61],1,"[50, 56, 60]",3,[61],1,"[50, 56, 60]",3,[61],1,"[56, 60]",2
11,4,"[1, 61]",2,"[1, 8, 40, 53]",4,[61],1,"[8, 40, 53]",3,[],0,"[8, 40, 53]",3,[],0,"[8, 40, 53]",3,[],0,"[8, 40, 53]",3,[],0,"[8, 40, 53]",3,[],0,"[8, 40, 53]",3,[],0,"[8, 40, 53]",3,[],0,"[8, 40, 53]",3,[],0,"[8, 40, 53]",3,[61],1,"[40, 53]",2
11,5,"[14, 20, 32, 41, 46, 52]",6,"[20, 32, 41, 47, 53]",5,"[20, 32, 41, 46, 52]",5,"[20, 32, 41, 53]",4,"[20, 32, 41, 46]",4,"[20, 32, 41, 53]",4,"[20, 32, 41, 46]",4,"[20, 32, 41, 53]",4,"[20, 32, 41, 46]",4,"[20, 32, 41, 53]",4,"[14, 20, 32, 41, 46]",5,"[20, 32, 41, 53]",4,"[14, 20, 32, 41, 46]",5,"[20, 41, 53]",3,"[14, 20, 32, 41, 46]",5,"[20, 32, 41, 53]",4,"[14, 20, 32, 41, 46]",5,"[20, 32, 41, 53]",4,"[14, 20, 32, 41, 46]",5,"[20, 32, 41, 53]",4,"[14, 20, 32, 41, 46]",5,"[32, 41]",2
11,6,"[3, 5, 15, 16, 17, 20, 39]",7,"[3, 15, 16, 39, 55]",5,"[3, 5, 15, 16]",4,"[16, 55]",2,"[5, 16]",2,"[15, 16, 55]",3,"[3, 5, 16]",3,"[16, 55]",2,"[5, 16]",2,"[16, 55]",2,"[5, 15, 16]",3,[15],1,"[5, 15, 16]",3,"[3, 15, 55]",3,"[5, 15, 16]",3,"[3, 55]",2,"[5, 15, 16]",3,"[3, 55]",2,"[5, 15, 16]",3,[15],1,[15],1,"[15, 16]",2
11,7,"[4, 9, 31, 33, 63]",5,"[4, 31]",2,"[9, 31]",2,[31],1,[31],1,[31],1,"[9, 31]",2,[31],1,"[9, 31]",2,[31],1,[31],1,[31],1,[31],1,[31],1,[31],1,[31],1,[31],1,[31],1,[31],1,[31],1,[31],1,[31],1
11,8,"[18, 38, 59]",3,"[22, 31, 38, 45, 62]",5,"[18, 38, 59]",3,"[22, 38, 45, 62]",4,"[18, 38, 59]",3,"[22, 38, 45, 62]",4,"[18, 38, 59]",3,"[22, 38, 45, 62]",4,"[18, 38, 59]",3,"[22, 38, 45, 62]",4,"[18, 38, 59]",3,"[22, 38, 62]",3,"[18, 38, 59]",3,"[22, 38, 45, 62]",4,"[18, 38, 59]",3,"[22, 38, 62]",3,"[18, 38, 59]",3,"[22, 38, 62]",3,"[18, 38, 59]",3,"[22, 38, 62]",3,"[18, 38, 59]",3,"[22, 38, 62]",3
11,9,"[14, 16, 26, 37, 52]",5,"[3, 5, 12, 26]",4,"[14, 16, 26, 37, 52]",5,"[5, 12, 26]",3,"[14, 16, 26, 37]",4,"[12, 26]",2,"[14, 16, 26, 37]",4,"[12, 26]",2,"[14, 16, 26, 37]",4,"[12, 26]",2,"[14, 16, 37]",3,"[12, 26]",2,"[14, 16]",2,"[5, 12, 26]",3,"[14, 16, 26]",3,"[5, 12, 26]",3,"[14, 16, 26]",3,"[5, 12, 26]",3,"[14, 16]",2,"[12, 26]",2,[14],1,"[5, 12]",2
11,10,"[14, 19, 54]",3,"[14, 15, 19, 29, 39]",5,"[14, 19, 54]",3,"[14, 15, 19, 29, 39]",5,"[14, 19]",2,"[14, 15, 19, 29, 39]",5,"[14, 19]",2,"[14, 15, 19, 29, 39]",5,"[14, 19]",2,"[14, 15, 19, 29, 39]",5,"[14, 19]",2,"[14, 19, 29, 39]",4,"[14, 19]",2,"[14, 19, 29, 39]",4,"[14, 19]",2,"[14, 19, 29, 39]",4,"[14, 19]",2,"[14, 19, 29, 39]",4,"[14, 19]",2,"[14, 19, 29, 39]",4,"[14, 19]",2,"[14, 19, 29, 39]",4
11,11,"[0, 14, 21]",3,"[15, 35, 41]",3,"[14, 21]",2,"[35, 41]",2,"[14, 21]",2,"[35, 41]",2,[21],1,"[35, 41]",2,[21],1,"[35, 41]",2,[21],1,"[35, 41]",2,[21],1,[35],1,[21],1,[35],1,[21],1,[35],1,[21],1,[35],1,[21],1,[35],1
